index,project,relativePath,absolutePath,methodName,spanMethod,wholeMethod,body,javaDoc,coverage,tokensPerMethod,javaDocFirstSentence,tokensFirstLine,perturbatedJavaDocSentence
212,anserini,io/anserini/index/IndexReaderUtils.java,/src/main/java/io/anserini/index/IndexReaderUtils.java,documentRaw,538-553,"/**
   * Returns the ""raw"" field of a document based on a collection docid. The method is named to be consistent with
   * Lucene's {@link IndexReader#document(int)}, contra Java's standard method naming conventions.
   *
   * @param reader index reader
   * @param docid collection docid
   * @return the ""raw"" field the document
   */
public static String documentRaw(IndexReader reader, String docid){
    try {
        return reader.document(convertDocidToLuceneDocid(reader, docid)).get(IndexArgs.RAW);
    } catch (Exception e) {
        return null;
    }
}","public static String documentRaw(IndexReader reader, String docid){
    try {
        return reader.document(convertDocidToLuceneDocid(reader, docid)).get(IndexArgs.RAW);
    } catch (Exception e) {
        return null;
    }
}","/**
   * Returns the ""raw"" field of a document based on a collection docid. The method is named to be consistent with
   * Lucene's {@link IndexReader#document(int)}, contra Java's standard method naming conventions.
   *
   * @param reader index reader
   * @param docid collection docid
   * @return the ""raw"" field the document
   */","('documentRaw', {'INSTRUCTION': {'covered': 11, 'missed': 0}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,"  Returns the ""raw"" field of a document based on a collection docid.",15.0,"['The ""raw"" field of the document is returned.', 'The ""raw"" field of a document is returned.', 'The document\'s ""raw"" field is returned.']"
213,tablesaw,tech/tablesaw/joining/DataFrameJoiner.java,/core/src/main/java/tech/tablesaw/joining/DataFrameJoiner.java,buildIndexesForJoinColumns,336-339,"/** Build a reverse index for every join column in the table. */
private List<Index> buildIndexesForJoinColumns(List<Integer> joinColumnIndexes, Table table){
    return joinColumnIndexes.stream().map(c -> indexFor(table, c)).collect(Collectors.toList());
}","private List<Index> buildIndexesForJoinColumns(List<Integer> joinColumnIndexes, Table table){
    return joinColumnIndexes.stream().map(c -> indexFor(table, c)).collect(Collectors.toList());
}",/** Build a reverse index for every join column in the table. */,"('buildIndexesForJoinColumns', {'INSTRUCTION': {'covered': 10, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0, Build a reverse index for every join column in the table.,12.0,"['Every join column in the table needs a reverse index.', 'Every join column in the table needs a reverse index built.', 'Every join column in the table has to have a reverse index built.']"
214,cdk,org/openscience/cdk/renderer/RendererModel.java,/display/render/src/main/java/org/openscience/cdk/renderer/RendererModel.java,addCDKChangeListener,379-392,"/**
     * Adds a change listener to the list of listeners.
     *
     * @param listener
     *            The listener added to the list
     */
public void addCDKChangeListener(ICDKChangeListener listener){
    if (listeners == null) {
        listeners = new ArrayList<ICDKChangeListener>();
    }
    if (!listeners.contains(listener)) {
        listeners.add(listener);
    }
}","public void addCDKChangeListener(ICDKChangeListener listener){
    if (listeners == null) {
        listeners = new ArrayList<ICDKChangeListener>();
    }
    if (!listeners.contains(listener)) {
        listeners.add(listener);
    }
}","/**
     * Adds a change listener to the list of listeners.
     *
     * @param listener
     *            The listener added to the list
     */","('addCDKChangeListener', {'INSTRUCTION': {'covered': 14, 'missed': 5}, 'BRANCH': {'covered': 2, 'missed': 2}, 'LINE': {'covered': 4, 'missed': 1}, 'COMPLEXITY': {'covered': 1, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,  Adds a change listener to the list of listeners.,10.0,"['A change listener is added to the list.', 'The change listener is added to the list.', 'A change listener is added to the list of others.']"
215,jackson-databind,com/fasterxml/jackson/databind/util/ClassUtil.java,/src/main/java/com/fasterxml/jackson/databind/util/ClassUtil.java,isProxyType,233-255,"/**
     * Helper method used to weed out dynamic Proxy types; types that do
     * not expose concrete method API that we could use to figure out
     * automatic Bean (property) based serialization.
     */
public static boolean isProxyType(Class<?> type){
    String name = type.getName();
    if (name.startsWith(""net.sf.cglib.proxy."") || name.startsWith(""org.hibernate.proxy."")) {
        return true;
    }
    return false;
}","public static boolean isProxyType(Class<?> type){
    String name = type.getName();
    if (name.startsWith(""net.sf.cglib.proxy."") || name.startsWith(""org.hibernate.proxy."")) {
        return true;
    }
    return false;
}","/**
     * Helper method used to weed out dynamic Proxy types; types that do
     * not expose concrete method API that we could use to figure out
     * automatic Bean (property) based serialization.
     */","('isProxyType', {'INSTRUCTION': {'covered': 13, 'missed': 2}, 'BRANCH': {'covered': 2, 'missed': 2}, 'LINE': {'covered': 4, 'missed': 1}, 'COMPLEXITY': {'covered': 1, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,  Helper method used to weed out dynamic Proxy types; types that do  not expose concrete method API that we could use to figure out  automatic Bean (property) based serialization.,33.0,"['The method used to weed out dynamic Proxy types is a helpers method.', 'The method used to weed out dynamic Proxy types is called a helpers method.', 'The method used to weed out dynamic Proxy types is called the Helper method.']"
216,cdk,org/openscience/cdk/signature/MoleculeSignature.java,/descriptor/signature/src/main/java/org/openscience/cdk/signature/MoleculeSignature.java,fromSignatureString,171-184,"/**
     * Builder for molecules (rather, for atom containers) from signature
     * strings.
     *
     * @param signatureString the signature string to use
     * @param coBuilder {@link IChemObjectBuilder} to build the returned atom container from
     * @return an atom container
     */
public static IAtomContainer fromSignatureString(String signatureString, IChemObjectBuilder coBuilder){
    ColoredTree tree = AtomSignature.parse(signatureString);
    MoleculeFromSignatureBuilder builder = new MoleculeFromSignatureBuilder(coBuilder);
    builder.makeFromColoredTree(tree);
    return builder.getAtomContainer();
}","public static IAtomContainer fromSignatureString(String signatureString, IChemObjectBuilder coBuilder){
    ColoredTree tree = AtomSignature.parse(signatureString);
    MoleculeFromSignatureBuilder builder = new MoleculeFromSignatureBuilder(coBuilder);
    builder.makeFromColoredTree(tree);
    return builder.getAtomContainer();
}","/**
     * Builder for molecules (rather, for atom containers) from signature
     * strings.
     *
     * @param signatureString the signature string to use
     * @param coBuilder {@link IChemObjectBuilder} to build the returned atom container from
     * @return an atom container
     */","('fromSignatureString', {'INSTRUCTION': {'covered': 14, 'missed': 0}, 'LINE': {'covered': 4, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,"  Builder for molecules (rather, for atom containers) from signature  strings.",14.0,"['Molecules and atom containers can be built from signature strings.', 'Molecules and atom containers are built from signature strings.', 'For atom containers, signature strings are used as a builder.']"
217,anserini,io/anserini/index/IndexReaderUtils.java,/src/main/java/io/anserini/index/IndexReaderUtils.java,documentContents,555-570,"/**
   * Returns the ""contents"" field of a document based on a collection docid. The method is named to be consistent with
   * Lucene's {@link IndexReader#document(int)}, contra Java's standard method naming conventions.
   *
   * @param reader index reader
   * @param docid collection docid
   * @return the ""contents"" field the document
   */
public static String documentContents(IndexReader reader, String docid){
    try {
        return reader.document(convertDocidToLuceneDocid(reader, docid)).get(IndexArgs.CONTENTS);
    } catch (Exception e) {
        return null;
    }
}","public static String documentContents(IndexReader reader, String docid){
    try {
        return reader.document(convertDocidToLuceneDocid(reader, docid)).get(IndexArgs.CONTENTS);
    } catch (Exception e) {
        return null;
    }
}","/**
   * Returns the ""contents"" field of a document based on a collection docid. The method is named to be consistent with
   * Lucene's {@link IndexReader#document(int)}, contra Java's standard method naming conventions.
   *
   * @param reader index reader
   * @param docid collection docid
   * @return the ""contents"" field the document
   */","('documentContents', {'INSTRUCTION': {'covered': 11, 'missed': 0}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,"  Returns the ""contents"" field of a document based on a collection docid.",15.0,"['The ""contents"" field is returned when the document is based on a collection docid.', 'The ""contents"" field of the document is returned.', 'The ""contents"" field of a document is returned.']"
218,cdk,org/openscience/cdk/group/Permutation.java,/tool/group/src/main/java/org/openscience/cdk/group/Permutation.java,isIdentity,98-110,"/**
     * Check to see if this permutation is the identity permutation.
     *
     * @return true if for all i, p[i] = i
     */
public boolean isIdentity(){
    for (int i = 0; i < this.values.length; i++) {
        if (this.values[i] != i) {
            return false;
        }
    }
    return true;
}","public boolean isIdentity(){
    for (int i = 0; i < this.values.length; i++) {
        if (this.values[i] != i) {
            return false;
        }
    }
    return true;
}","/**
     * Check to see if this permutation is the identity permutation.
     *
     * @return true if for all i, p[i] = i
     */","('isIdentity', {'INSTRUCTION': {'covered': 19, 'missed': 0}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 4, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,  Check to see if this permutation is the identity permutation.,11.0,"['If this permutation is the identity permutation, you should check it.', 'If this permutation is the identity permutation, check it.', 'If this permutation is the identity permutation, check it out.']"
219,metrics,io/dropwizard/metrics5/UniformSnapshot.java,/metrics-core/src/main/java/io/dropwizard/metrics5/UniformSnapshot.java,dump,164-176,"/**
     * Writes the values of the snapshot to the given stream.
     *
     * @param output an output stream
     */
public void dump(OutputStream output){
    try (PrintWriter out = new PrintWriter(new OutputStreamWriter(output, UTF_8))) {
        for (long value : values) {
            out.printf(""%d%n"", value);
        }
    }
}","public void dump(OutputStream output){
    try (PrintWriter out = new PrintWriter(new OutputStreamWriter(output, UTF_8))) {
        for (long value : values) {
            out.printf(""%d%n"", value);
        }
    }
}","/**
     * Writes the values of the snapshot to the given stream.
     *
     * @param output an output stream
     */","('dump', {'INSTRUCTION': {'covered': 38, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 0}, 'LINE': {'covered': 4, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,  Writes the values of the snapshot to the given stream.,11.0,"['The values of the snapshot are written.', 'The values are written to the stream.', 'Writes the values of the snapshot to the stream.']"
220,matsim-libs,org/matsim/vehicles/MatsimVehicleWriter.java,/matsim/src/main/java/org/matsim/vehicles/MatsimVehicleWriter.java,writeFile,49-60,"/**
	 * Writes the vehicles in the current default format
	 * (currently vehicleDefinitions_v2.0.dtd).
	 */
public void writeFile(String filename){
    log.info(Gbl.aboutToWrite(""vehicles"", filename));
    try {
        delegate.writeFile(filename);
    } catch (IOException e) {
        e.printStackTrace();
    }
}","public void writeFile(String filename){
    log.info(Gbl.aboutToWrite(""vehicles"", filename));
    try {
        delegate.writeFile(filename);
    } catch (IOException e) {
        e.printStackTrace();
    }
}","/**
	 * Writes the vehicles in the current default format
	 * (currently vehicleDefinitions_v2.0.dtd).
	 */","('writeFile', {'INSTRUCTION': {'covered': 11, 'missed': 3}, 'LINE': {'covered': 4, 'missed': 2}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,Writes the vehicles in the current default format  (currently vehicleDefinitions_v2.,12.0,"['The current format of the vehicles is vehicleDefinitions_v2.', 'Writes the vehicles in the default format.', 'The current format for vehicles is vehicleDefinitions_v2.']"
221,cdk,org/openscience/cdk/renderer/AtomContainerRenderer.java,/display/renderbasic/src/main/java/org/openscience/cdk/renderer/AtomContainerRenderer.java,calculateScaleForBondLength,256-270,"/**
     * Given a bond length for a model, calculate the scale that will transform
     * this length to the on screen bond length in RendererModel.
     *
     * @param modelBondLength the average bond length of the model
     * @return the scale necessary to transform this to a screen bond
     */
public double calculateScaleForBondLength(double modelBondLength){
    if (Double.isNaN(modelBondLength) || modelBondLength == 0) {
        return DEFAULT_SCALE;
    } else {
        return rendererModel.getParameter(BondLength.class).getValue() / modelBondLength;
    }
}","public double calculateScaleForBondLength(double modelBondLength){
    if (Double.isNaN(modelBondLength) || modelBondLength == 0) {
        return DEFAULT_SCALE;
    } else {
        return rendererModel.getParameter(BondLength.class).getValue() / modelBondLength;
    }
}","/**
     * Given a bond length for a model, calculate the scale that will transform
     * this length to the on screen bond length in RendererModel.
     *
     * @param modelBondLength the average bond length of the model
     * @return the scale necessary to transform this to a screen bond
     */","('calculateScaleForBondLength', {'INSTRUCTION': {'covered': 18, 'missed': 2}, 'BRANCH': {'covered': 2, 'missed': 2}, 'LINE': {'covered': 2, 'missed': 1}, 'COMPLEXITY': {'covered': 1, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,"  Given a bond length for a model, calculate the scale that will transform  this length to the on screen bond length in RendererModel.",25.0,"['If you give a bond length for a model, calculate the scale that will transform it to the on screen bond length.', 'If you give a bond length for a model, calculate the scale that will transform it to the screen bond length.', 'If you give a bond length for a model, calculate the scale that will transform it to a screen bond.']"
222,openapi-generator,org/openapitools/codegen/DefaultCodegen.java,/modules/openapi-generator/src/main/java/org/openapitools/codegen/DefaultCodegen.java,toEnumValue,754-768,"/**
     * Return the enum value in the language specified format
     * e.g. status becomes ""status""
     *
     * @param value    enum variable name
     * @param datatype data type
     * @return the sanitized value for enum
     */
public String toEnumValue(String value, String datatype){
    if (""number"".equalsIgnoreCase(datatype) || ""boolean"".equalsIgnoreCase(datatype)) {
        return value;
    } else {
        return ""\"""" + escapeText(value) + ""\"""";
    }
}","public String toEnumValue(String value, String datatype){
    if (""number"".equalsIgnoreCase(datatype) || ""boolean"".equalsIgnoreCase(datatype)) {
        return value;
    } else {
        return ""\"""" + escapeText(value) + ""\"""";
    }
}","/**
     * Return the enum value in the language specified format
     * e.g. status becomes ""status""
     *
     * @param value    enum variable name
     * @param datatype data type
     * @return the sanitized value for enum
     */","('toEnumValue', {'INSTRUCTION': {'covered': 21, 'missed': 2}, 'BRANCH': {'covered': 2, 'missed': 2}, 'LINE': {'covered': 2, 'missed': 1}, 'COMPLEXITY': {'covered': 1, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,  Return the enum value in the language specified format  e.,11.0,"['Return the value in the specified format.', 'Return the value in the format specified.', 'Return the value in the language specified.']"
224,cdk,org/openscience/cdk/io/MDLV2000Reader.java,/storage/ctab/src/main/java/org/openscience/cdk/io/MDLV2000Reader.java,length,1490-1502,"/**
     * Determine the length of the line excluding trailing whitespace.
     *
     * @param str a string
     * @return the length when trailing white space is removed
     */
 static int length(final String str){
    int i = str.length() - 1;
    while (i >= 0 && str.charAt(i) == ' ') {
        i--;
    }
    return i + 1;
}","static int length(final String str){
    int i = str.length() - 1;
    while (i >= 0 && str.charAt(i) == ' ') {
        i--;
    }
    return i + 1;
}","/**
     * Determine the length of the line excluding trailing whitespace.
     *
     * @param str a string
     * @return the length when trailing white space is removed
     */","('length', {'INSTRUCTION': {'covered': 18, 'missed': 0}, 'BRANCH': {'covered': 3, 'missed': 1}, 'LINE': {'covered': 4, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,  Determine the length of the line excluding trailing whitespace.,10.0,"['The length of the line should be determined.', 'Determine the length of the line.', 'The length of the line should be known.']"
225,acs-aem-commons,com/adobe/acs/commons/replication/status/impl/ReplicationStatusManagerImpl.java,/bundle/src/main/java/com/adobe/acs/commons/replication/status/impl/ReplicationStatusManagerImpl.java,addReplicationStatusMixin,193-205,"/**
     * Adds the cq:ReplicationStatus mixin if the node doesnt already have it or does have it as its jcr:supertype
     * already.
     *
     * @param node the node obj
     * @throws RepositoryException
     */
private void addReplicationStatusMixin(final Node node) throws RepositoryException{
    if (!this.hasMixin(node, ReplicationStatus.NODE_TYPE) && node.canAddMixin(ReplicationStatus.NODE_TYPE)) {
        node.addMixin(ReplicationStatus.NODE_TYPE);
    }
}","private void addReplicationStatusMixin(final Node node) throws RepositoryException{
    if (!this.hasMixin(node, ReplicationStatus.NODE_TYPE) && node.canAddMixin(ReplicationStatus.NODE_TYPE)) {
        node.addMixin(ReplicationStatus.NODE_TYPE);
    }
}","/**
     * Adds the cq:ReplicationStatus mixin if the node doesnt already have it or does have it as its jcr:supertype
     * already.
     *
     * @param node the node obj
     * @throws RepositoryException
     */","('addReplicationStatusMixin', {'INSTRUCTION': {'covered': 13, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 2}, 'LINE': {'covered': 4, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,  Adds the cq:ReplicationStatus mixin if the node doesnt already have it or does have it as its jcr:supertype  already.,24.0,"['The cq:ReplicationStatus mixin is added if the node has it or if it is already a jcr:supertype.', 'The cq:ReplicationStatus mixin is added if the nodes has it or if it is already a jcr:supertype.', 'The cq:ReplicationStatus mixin is added if the node already has it or if it is a jcr:supertype.']"
227,cdk,org/openscience/cdk/hash/stereo/DoubleBond3DParity.java,/tool/hash/src/main/java/org/openscience/cdk/hash/stereo/DoubleBond3DParity.java,toVector,93-102,"/**
     * Create a vector by specifying the source and destination coordinates.
     *
     * @param src  start point of the vector
     * @param dest end point of the vector
     * @return a new vector
     */
private static double[] toVector(Point3d src, Point3d dest){
    return new double[] { dest.x - src.x, dest.y - src.y, dest.z - src.z };
}","private static double[] toVector(Point3d src, Point3d dest){
    return new double[] { dest.x - src.x, dest.y - src.y, dest.z - src.z };
}","/**
     * Create a vector by specifying the source and destination coordinates.
     *
     * @param src  start point of the vector
     * @param dest end point of the vector
     * @return a new vector
     */","('toVector', {'INSTRUCTION': {'covered': 27, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,  Create a vector by specifying the source and destination coordinates.,11.0,"['The source and destination coordinates can be specified to create a vector.', 'The source and destination coordinates are needed to create a vector.', 'The source and destination coordinates are required to create a vector.']"
228,weblogic-kubernetes-operator,oracle/kubernetes/operator/helpers/LegalNames.java,/operator/src/main/java/oracle/kubernetes/operator/helpers/LegalNames.java,isDns1123Required,195-210,"/**
   * Returns true if the value in the field is required to be DNS-1123 legal.
   *
   * @param fieldName Name of the field to be checked
   * @return true if the value needs to be DNS1123 legal, false otherwise
   */
public static boolean isDns1123Required(String fieldName){
    if (fieldName != null) {
        for (String dns1123Field : getDns1123Fields()) {
            if (dns1123Field.equalsIgnoreCase(fieldName)) {
                return true;
            }
        }
    }
    return false;
}","public static boolean isDns1123Required(String fieldName){
    if (fieldName != null) {
        for (String dns1123Field : getDns1123Fields()) {
            if (dns1123Field.equalsIgnoreCase(fieldName)) {
                return true;
            }
        }
    }
    return false;
}","/**
   * Returns true if the value in the field is required to be DNS-1123 legal.
   *
   * @param fieldName Name of the field to be checked
   * @return true if the value needs to be DNS1123 legal, false otherwise
   */","('isDns1123Required', {'INSTRUCTION': {'covered': 26, 'missed': 0}, 'BRANCH': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 5, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",46.0,Returns true if the value in the field is required to be DNS-1123 legal.,15.0,"[""If the value in the field is required to be legal, it's true."", 'If the value in the field is required to be legal, returns true.', 'If the value in the field is required to be legal, it will be true.']"
229,matsim-libs,org/matsim/utils/objectattributes/attributable/AttributesUtils.java,/matsim/src/main/java/org/matsim/utils/objectattributes/attributable/AttributesUtils.java,copyTo,31-39,"/**
	 * Adds the mappings from ""from"" to ""to"". Nothing is done to copy the Object themselves,
	 * which should be fine for 99.9% of the usecases of Attributes (value objects)
	 */
public static void copyTo(Attributes from, Attributes to){
    for (var entry : from.getAsMap().entrySet()) {
        to.putAttribute(entry.getKey(), entry.getValue());
    }
}","public static void copyTo(Attributes from, Attributes to){
    for (var entry : from.getAsMap().entrySet()) {
        to.putAttribute(entry.getKey(), entry.getValue());
    }
}","/**
	 * Adds the mappings from ""from"" to ""to"". Nothing is done to copy the Object themselves,
	 * which should be fine for 99.9% of the usecases of Attributes (value objects)
	 */","('copyTo', {'INSTRUCTION': {'covered': 22, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 0}, 'LINE': {'covered': 4, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",47.0,"  Adds the mappings from ""from"" to ""to"".",12.0,"['The mappings are added from ""from"" to ""to"".', 'The mappings are changed from ""from"" to ""to"".', 'Adds the mappings from ""from"" to ""to"".']"
230,dcache,org/dcache/auth/Subjects.java,/modules/common/src/main/java/org/dcache/auth/Subjects.java,isExemptFromNamespaceChecks,70-82,"/**
     * Return true if the subject is root or has the special ExemptFromNamespaceChecks principal.
     *
     * @param subject The identity of the user.
     * @return if the user is except from namespace checks.
     * @see #isRoot(javax.security.auth.Subject)
     */
public static boolean isExemptFromNamespaceChecks(Subject subject){
    return subject.getPrincipals().stream().anyMatch(p -> p instanceof UidPrincipal && ((UidPrincipal) p).getUid() == 0 || p instanceof ExemptFromNamespaceChecks);
}","public static boolean isExemptFromNamespaceChecks(Subject subject){
    return subject.getPrincipals().stream().anyMatch(p -> p instanceof UidPrincipal && ((UidPrincipal) p).getUid() == 0 || p instanceof ExemptFromNamespaceChecks);
}","/**
     * Return true if the subject is root or has the special ExemptFromNamespaceChecks principal.
     *
     * @param subject The identity of the user.
     * @return if the user is except from namespace checks.
     * @see #isRoot(javax.security.auth.Subject)
     */","('isExemptFromNamespaceChecks', {'INSTRUCTION': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 2, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",47.0,  Return true if the subject is root or has the special ExemptFromNamespaceChecks principal.,14.0,"['If the subject is root, return true.', 'If the subject is root, return it as true.', 'Return true if the subject is root or ExemptFromNamespaceChecks principal.']"
231,cdk,org/openscience/cdk/hash/stereo/DoubleBondElementEncoderFactory.java,/tool/hash/src/main/java/org/openscience/cdk/hash/stereo/DoubleBondElementEncoderFactory.java,findOther,119-132,"/**
     * Finds a vertex in 'vs' which is not 'u' or 'x'.
     * .
     * @param vs fixed size array of 3 elements
     * @param u  a vertex in 'vs'
     * @param x  another vertex in 'vs'
     * @return the other vertex
     */
private static int findOther(int[] vs, int u, int x){
    for (int v : vs) {
        if (v != u && v != x)
            return v;
    }
    throw new IllegalArgumentException(""vs[] did not contain another vertex"");
}","private static int findOther(int[] vs, int u, int x){
    for (int v : vs) {
        if (v != u && v != x)
            return v;
    }
    throw new IllegalArgumentException(""vs[] did not contain another vertex"");
}","/**
     * Finds a vertex in 'vs' which is not 'u' or 'x'.
     * .
     * @param vs fixed size array of 3 elements
     * @param u  a vertex in 'vs'
     * @param x  another vertex in 'vs'
     * @return the other vertex
     */","('findOther', {'INSTRUCTION': {'covered': 24, 'missed': 5}, 'BRANCH': {'covered': 5, 'missed': 1}, 'LINE': {'covered': 2, 'missed': 1}, 'COMPLEXITY': {'covered': 3, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",47.0,  Finds a vertex in 'vs' which is not 'u' or 'x'.,17.0,"[""It is found that the 'v' is not 'u' or 'x'."", ""It is found that the 'u' and 'x' are not in the same place."", ""It is found that the 'u' and 'x' are not the same thing in 'vs'.""]"
232,jackson-databind,com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java,/src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java,_collectIgnorals,935-948,"/**
     * Helper method called to add explicitly ignored properties to a list
     * of known ignored properties; this helps in proper reporting of
     * errors.
     */
protected void _collectIgnorals(String name){
    if (!_forSerialization && (name != null)) {
        if (_ignoredPropertyNames == null) {
            _ignoredPropertyNames = new HashSet<String>();
        }
        _ignoredPropertyNames.add(name);
    }
}","protected void _collectIgnorals(String name){
    if (!_forSerialization && (name != null)) {
        if (_ignoredPropertyNames == null) {
            _ignoredPropertyNames = new HashSet<String>();
        }
        _ignoredPropertyNames.add(name);
    }
}","/**
     * Helper method called to add explicitly ignored properties to a list
     * of known ignored properties; this helps in proper reporting of
     * errors.
     */","('_collectIgnorals', {'INSTRUCTION': {'covered': 19, 'missed': 0}, 'BRANCH': {'covered': 5, 'missed': 1}, 'LINE': {'covered': 5, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",47.0,  Helper method called to add explicitly ignored properties to a list  of known ignored properties; this helps in proper reporting of  errors.,24.0,"['Adding explicitly ignored properties to a list helps in reporting errors.', 'Adding explicitly ignored properties to a list of known ignored properties helps in reporting errors.', 'Adding explicitly ignored properties to a list helps in proper reporting of errors.']"
234,matsim-libs,org/matsim/core/network/algorithms/NetworkSimplifier.java,/matsim/src/main/java/org/matsim/core/network/algorithms/NetworkSimplifier.java,bothLinksAreShorterThanThreshold,293-308,"/**
	 * Quick check to see whether <i>both</i> the links are shorter than the 
	 * given threshold.
	 * @param linkA
	 * @param linkB
	 * @param thresholdLength
	 * @return true if <i>both</i> links are shorter than the given threshold, 
	 * false otherwise. 
	 */
private boolean bothLinksAreShorterThanThreshold(Link linkA, Link linkB, double thresholdLength){
    boolean hasTwoShortLinks = false;
    if (linkA.getLength() < thresholdLength && linkB.getLength() < thresholdLength) {
        hasTwoShortLinks = true;
    }
    return hasTwoShortLinks;
}","private boolean bothLinksAreShorterThanThreshold(Link linkA, Link linkB, double thresholdLength){
    boolean hasTwoShortLinks = false;
    if (linkA.getLength() < thresholdLength && linkB.getLength() < thresholdLength) {
        hasTwoShortLinks = true;
    }
    return hasTwoShortLinks;
}","/**
	 * Quick check to see whether <i>both</i> the links are shorter than the 
	 * given threshold.
	 * @param linkA
	 * @param linkB
	 * @param thresholdLength
	 * @return true if <i>both</i> links are shorter than the given threshold, 
	 * false otherwise. 
	 */","('bothLinksAreShorterThanThreshold', {'INSTRUCTION': {'covered': 16, 'missed': 0}, 'BRANCH': {'covered': 3, 'missed': 1}, 'LINE': {'covered': 4, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",47.0,  Quick check to see whether <i>both</i> the links are shorter than the   given threshold.,21.0,"['Check to see if the links are shorter than the threshold.', 'You can check to see if the links are shorter than the threshold.', 'Check to see if the links are longer than the threshold.']"
235,matsim-libs,org/matsim/core/network/algorithms/NetworkSimplifier.java,/matsim/src/main/java/org/matsim/core/network/algorithms/NetworkSimplifier.java,eitherLinkIsShorterThanThreshold,310-325,"/**
	 * Quick check to see whether <i>either</i> the links are shorter than the 
	 * given threshold.
	 * @param linkA
	 * @param linkB
	 * @param thresholdLength
	 * @return true if <i>either</i> links are shorter than the given threshold, 
	 * false otherwise. 
	 */
private boolean eitherLinkIsShorterThanThreshold(Link linkA, Link linkB, double thresholdLength){
    boolean hasShortLink = false;
    if (linkA.getLength() < thresholdLength || linkB.getLength() < thresholdLength) {
        hasShortLink = true;
    }
    return hasShortLink;
}","private boolean eitherLinkIsShorterThanThreshold(Link linkA, Link linkB, double thresholdLength){
    boolean hasShortLink = false;
    if (linkA.getLength() < thresholdLength || linkB.getLength() < thresholdLength) {
        hasShortLink = true;
    }
    return hasShortLink;
}","/**
	 * Quick check to see whether <i>either</i> the links are shorter than the 
	 * given threshold.
	 * @param linkA
	 * @param linkB
	 * @param thresholdLength
	 * @return true if <i>either</i> links are shorter than the given threshold, 
	 * false otherwise. 
	 */","('eitherLinkIsShorterThanThreshold', {'INSTRUCTION': {'covered': 16, 'missed': 0}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 4, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",47.0,  Quick check to see whether <i>either</i> the links are shorter than the   given threshold.,21.0,"['Check to see if the links are shorter than the threshold.', 'Check to see if the links are longer than the threshold.', 'Check to see whether the links are shorter than the threshold.']"
